chart_date,artist,song_title, peak_position,chart_weeks
2012-10-26,PSY,Gangnam Style[173],12,13
2020-08-01,"Jawsh 685, Jason Derulo & BTS",Savage Love (Laxed – Siren Beat),4,–
2020-09-19,BTS,Dynamite[42][46][47][48][49],10,18s
